   X   ,   Y    ,   Z   
 +0.811,  +0.452,  +1.339
 -0.341,  -0.009,  -1.833
 -1.233,  +0.793,  -1.244
 +0.333,  +1.327,  +0.061
 +0.486,  -1.368,  +0.191
 +0.865,  +0.052,  +0.597
 -0.896,  -0.250,  +0.129
 +0.103,  +2.170,  -0.437
 +0.290,  -0.473,  -0.083
 +0.392,  +0.180,  +0.100
 -0.042,  +1.804,  +0.366
 +0.185,  +0.480,  -2.508
 -0.217,  -0.820,  -1.552
 +1.282,  +0.645,  +1.471
 +0.612,  +0.294,  +0.697
 -0.127,  -1.315,  -2.615
 -0.623,  -0.983,  -0.589
 +0.975,  -0.104,  -1.072
 -0.134,  -1.027,  +0.222
 -0.726,  +0.624,  +0.491
 +0.482,  -0.369,  +1.092
 +0.873,  +0.111,  +0.924
 -1.422,  -0.320,  -0.591
 -1.052,  -0.018,  +0.486
 +0.729,  +0.608,  -0.673
 -2.021,  -0.757,  +0.207
 -0.731,  +1.622,  -0.656
 +0.536,  +0.896,  -0.586
 -1.446,  -0.196,  -1.507
 +0.110,  -2.621,  +0.728
 +0.724,  -1.100,  +0.278
 +0.741,  +0.448,  -0.748
 +0.458,  +0.957,  +1.630
 -1.896,  +0.868,  +1.112
 +1.190,  -0.462,  -0.729
 +1.128,  -0.467,  +0.034
 -0.923,  +0.144,  -1.459
 +0.622,  -1.133,  +1.627
 -0.247,  -2.054,  +0.426
 -0.371,  +0.590,  -0.403
 +0.328,  +0.055,  +0.258
 +0.322,  +2.618,  +0.008
 -1.033,  -1.964,  +1.372
 -0.467,  -2.445,  -0.645
 -0.165,  +0.421,  -0.881
 +3.413,  -0.823,  +0.512
 +0.482,  -0.121,  +0.748
 -0.143,  -0.287,  -0.344
 -0.925,  -0.942,  +0.231
 -0.608,  -0.040,  +0.655
 +0.671,  +0.639,  +0.822
 -0.323,  -0.894,  +0.654
 -0.161,  -0.029,  -0.037
 +0.258,  +1.253,  +1.014
 -0.690,  +0.312,  -1.146
 -1.130,  +0.658,  -2.518
 -1.388,  -1.187,  +1.252
 +0.397,  +0.203,  +0.466
 -0.268,  +1.742,  +0.442
 +2.381,  -1.145,  -0.322
 +1.236,  +1.400,  -1.172
 +0.749,  +0.858,  -0.582
 -1.798,  -0.808,  +0.624
 +2.700,  -0.071,  -1.251
 +1.104,  -0.115,  -0.245
 -0.324,  -0.410,  -0.278
 +0.020,  +0.321,  +0.491
 -0.384,  -0.697,  +0.663
 +1.271,  -1.409,  +3.515
 -1.050,  +0.303,  -0.186
 -0.285,  +0.125,  -1.500
 -0.645,  -1.266,  +0.164
 -0.030,  -0.655,  +1.283
 -1.982,  -0.158,  -0.260
 +0.137,  +1.408,  -1.056
 +1.254,  -0.366,  -1.373
 +0.453,  +1.475,  -1.691
 +0.324,  -0.933,  +0.892
 +1.111,  -0.123,  +1.989
 -1.276,  +0.257,  -0.963
 +0.573,  +0.436,  +0.254
 -0.371,  +0.182,  -0.539
 +0.451,  +3.117,  +0.125
 -0.853,  -0.912,  +0.682
 +1.846,  +0.089,  +0.614
 +0.293,  -0.673,  -0.110
 -1.418,  +0.049,  -1.907
 +0.259,  -2.623,  +0.136
 +1.604,  +0.273,  -0.497
 +0.920,  -1.107,  +0.963
 -0.302,  +0.987,  +1.124
 +1.714,  -0.034,  -1.231
 +0.205,  +0.515,  +1.310
 +0.462,  +0.154,  -0.485
 +0.580,  -0.721,  -0.601
 -0.021,  +1.251,  -0.204
 +1.347,  +0.409,  -0.610
 -3.412,  +0.738,  -0.585
 +0.995,  +0.392,  -0.698
 +1.192,  +1.937,  -1.237
 +0.444,  -0.630,  -1.670
 -0.734,  +0.131,  +0.744
 -0.088,  +0.505,  -2.305
 +2.103,  +0.358,  +0.967
 -1.321,  -0.835,  +0.295
 -0.622,  +1.703,  -0.236
 -1.860,  +1.034,  +0.210
 -1.003,  -2.551,  -1.243
 +0.388,  -2.174,  +1.466
 -0.750,  +0.953,  -1.513
 -0.739,  +0.780,  +2.234
 +1.340,  +0.793,  -1.659
 +1.333,  +0.866,  -1.803
 -1.653,  +0.334,  -0.089
 -0.963,  -0.095,  -0.698
 +0.848,  -0.419,  -0.616
 +0.450,  +0.696,  +0.559
 -0.379,  -1.588,  -1.023
 +1.093,  -1.054,  -0.306
 +0.827,  -0.436,  +0.323
 -0.004,  -0.192,  +2.136
 -0.284,  +0.253,  -0.889
 -0.341,  +0.450,  -0.919
 +0.419,  +0.410,  +1.912
 -0.494,  -0.045,  +1.199
 +0.305,  -1.552,  +0.709
 +0.638,  +3.689,  -1.082
 -0.135,  -0.339,  +0.346
 -0.822,  +1.221,  +0.901
 -1.223,  +1.426,  -0.532
 -0.963,  +0.652,  +0.217
 +1.591,  -0.445,  -1.148
 -0.980,  +0.502,  -1.174
 +0.035,  -0.767,  -1.085
 -0.156,  +0.142,  +1.405
 +3.349,  +1.204,  -0.603
 -1.443,  +1.078,  +0.983
 -0.362,  +1.125,  +0.594
 -1.079,  +0.957,  +0.133
 -1.253,  +0.243,  -0.414
 -0.037,  -1.743,  -0.045
 +0.565,  -0.608,  -0.273
 -1.747,  -0.891,  +1.086
 +1.325,  -0.722,  +0.280
 +0.846,  +1.043,  -0.061
 -0.646,  +0.632,  +0.757
 -0.030,  +0.410,  -0.777
 -0.695,  -0.397,  -0.668
 -0.514,  -0.386,  -0.712
 +0.844,  +0.123,  +1.861
 -0.355,  +0.629,  -1.236
 +1.245,  +1.161,  -2.112
 +0.940,  +0.456,  +0.477
 +1.138,  -0.836,  -0.452
 -0.878,  -1.102,  -0.236
 +0.314,  -0.580,  +0.592
 +0.071,  -0.437,  +0.281
 -0.700,  -0.005,  +0.662
 +0.837,  -1.442,  +0.156
 +1.203,  -0.112,  +0.890
 -0.895,  -0.033,  +1.132
 -0.940,  -0.245,  +0.371
 +0.991,  +1.362,  +0.861
 -1.394,  -0.668,  -0.426
 -0.308,  +0.884,  +0.081
 -0.253,  -0.036,  -0.080
 -0.054,  +0.178,  +0.965
 -0.954,  -0.332,  -0.310
 -0.079,  -1.442,  +0.537
 +0.290,  -0.035,  +0.760
 -0.992,  +0.232,  +0.137
 -0.385,  -1.062,  -0.232
 +0.106,  -0.591,  -1.241
 +0.138,  +0.427,  -0.338
 +0.740,  -1.247,  +0.477
 -1.027,  +0.465,  -0.974
 +0.149,  -1.376,  -1.016
 -0.170,  +0.931,  -0.217
 +0.373,  -1.104,  +0.342
 -1.281,  -0.320,  -1.793
 +0.707,  -0.327,  +0.202
 +0.742,  -1.222,  +0.676
 +0.576,  +0.257,  -1.202
 +0.147,  -0.463,  +1.018
 -1.419,  +0.667,  +0.182
 -1.342,  -0.074,  -0.334
 -0.247,  -1.141,  +1.169
 -0.925,  -0.881,  +0.718
 +0.901,  +0.841,  -0.535
 +0.529,  -0.748,  +0.251
 +0.362,  +0.853,  -1.115
 -1.397,  +0.251,  -0.123
 +0.152,  -0.178,  +0.499
 -1.386,  -0.259,  +1.055
 +0.528,  +0.091,  +0.490
 -0.168,  -0.927,  -0.433
 -0.073,  +2.653,  -1.457
 -0.575,  +1.489,  -0.146
 +1.067,  -0.430,  +0.779
 +0.294,  +1.781,  +1.414
 -0.784,  -0.645,  -3.678
 -1.314,  -0.524,  +0.535
 +1.019,  +0.200,  -0.105
 +1.551,  +0.078,  +0.410
 -1.005,  -0.043,  +1.158
 +0.005,  +2.396,  +0.640
 +0.955,  +0.783,  +0.894
 +1.093,  +0.853,  +0.788
 -0.431,  -0.477,  +0.431
 -0.183,  +0.230,  -0.038
 +0.283,  -2.244,  +1.629
 +0.659,  -1.352,  -1.128
 +1.304,  -1.022,  +0.107
 -0.973,  +1.322,  +1.985
 -0.819,  +0.608,  +0.869
 -0.660,  -0.982,  -0.930
 +0.104,  -0.528,  -0.439
 -0.384,  -0.680,  +0.185
 +1.772,  -0.734,  +0.433
 +0.263,  -1.600,  +1.057
 +0.295,  -0.935,  -1.777
 +0.775,  +0.643,  -0.843
 -0.705,  -0.299,  -1.278
 +0.426,  -1.154,  +0.622
 +0.338,  +0.772,  +0.670
 -0.680,  -0.637,  -0.270
 -0.642,  -0.168,  -1.689
 +1.250,  +0.810,  -0.793
 -0.006,  +0.940,  -0.141
 -0.366,  -1.071,  -0.895
 +0.454,  +0.907,  -2.021
 -0.907,  -1.752,  -1.108
 +0.766,  -0.087,  +0.400
 +0.608,  +0.280,  -0.007
 -0.874,  +0.217,  +2.841
 +0.226,  +0.976,  +0.147
 +0.161,  +0.068,  -1.314
 -0.016,  +1.497,  +1.130
 +1.943,  -1.170,  -0.583
 -0.399,  -0.059,  +0.502
 +0.299,  -0.230,  +0.266
 +0.162,  -0.567,  -0.350
 +1.316,  -0.394,  +0.041
 -1.105,  +1.049,  -0.127
 +1.451,  +1.544,  +1.142
 -2.157,  -1.213,  -0.810
 -1.518,  +0.274,  +0.257
 -0.153,  +0.257,  +1.059
 -0.277,  +0.387,  +1.124
 -0.596,  -0.707,  -0.650
 -0.938,  +1.099,  -0.494
 -0.075,  -1.229,  -0.729
 +1.019,  +1.036,  -1.636
 +0.648,  +0.119,  -1.066
 -0.301,  +1.805,  +1.333
 +0.113,  +0.885,  -0.352
 +0.208,  -0.931,  -0.486
 +0.153,  +1.663,  -1.373
 +0.233,  -0.050,  +1.801
 -1.199,  -0.915,  -0.032
 +0.608,  +1.371,  +0.222
 +2.089,  -0.609,  -1.497
 -1.419,  +0.052,  +0.431
 -0.495,  -0.393,  +0.304
 -0.696,  +0.272,  +0.785
 -1.686,  +0.289,  -0.369
 +0.947,  -1.742,  -0.746
 +0.283,  -0.101,  +0.391
 +1.062,  -2.092,  -0.145
 +1.194,  -0.168,  -1.263
 +0.948,  +0.217,  +0.968
 -0.490,  -0.778,  +1.079
 -0.322,  -2.085,  -0.051
 +0.854,  +0.042,  -0.398
 -0.112,  +0.592,  +0.390
 -0.238,  +0.870,  -1.929
 -1.401,  +0.048,  +1.034
 -0.595,  +0.540,  +0.136
 +1.474,  +1.365,  -0.884
 +0.815,  -1.662,  +0.827
 +2.339,  +0.938,  -1.955
 +0.354,  +0.260,  -0.975
 -0.595,  +0.231,  +0.063
 -0.331,  -0.099,  -0.722
 -0.205,  -0.113,  +0.671
 +1.835,  +0.563,  -0.720
 +0.022,  -0.248,  -0.673
 -1.142,  +0.642,  -0.156
 -0.592,  +0.775,  +0.775
 -0.699,  +0.124,  -1.434
 -1.097,  +0.076,  +1.229
 -2.259,  +1.629,  +0.606
 +1.164,  -0.036,  -0.880
 +0.194,  +0.337,  +0.360
 +0.836,  -0.232,  -0.221
 -1.240,  +0.232,  -0.407
 +1.232,  +1.991,  -0.388
 -1.035,  -0.697,  +2.262
 -1.114,  +1.448,  +0.384
 -1.039,  -2.089,  -0.415
 +0.579,  -1.156,  +0.145
 +0.523,  +0.188,  -0.792
 +0.662,  +0.078,  +0.285
 -0.924,  -0.067,  -0.150
 +0.808,  -0.390,  -0.402
 +0.043,  +1.476,  +2.161
 -1.132,  -0.168,  -1.767
 -0.110,  +0.301,  +0.876
 +1.242,  +0.715,  -1.925
 +0.062,  +0.540,  -1.327
 +0.272,  -1.956,  +1.930
 +2.929,  +0.783,  -0.386
 -0.748,  -0.440,  +1.082
 -2.215,  +1.104,  +0.553
 +1.358,  -0.998,  -0.222
 -0.637,  +0.284,  -0.197
 +0.673,  -0.705,  +0.654
 -0.653,  +0.373,  +0.201
 -2.046,  -1.033,  -0.737
 -0.287,  -0.335,  +1.241
 +0.226,  -0.137,  -0.274
 -2.276,  +0.440,  +1.162
 -0.199,  -0.517,  -0.415
 -0.814,  +0.399,  -1.437
 +1.431,  -1.124,  +0.976
 -0.810,  -0.789,  +0.798
 +0.759,  +0.945,  -0.858
 -0.391,  +1.800,  +1.432
 -1.345,  +0.284,  -1.060
 -2.115,  +0.179,  +1.198
 +0.234,  -1.042,  -0.934
 +0.805,  -1.377,  +0.853
 +1.095,  +0.799,  -0.312
 +0.038,  +1.586,  -1.387
 +0.591,  +0.381,  -1.388
 +1.204,  -0.555,  +0.810
 +0.468,  -0.421,  +0.956
 -0.500,  +0.249,  -0.420
 -0.772,  +1.465,  +0.205
 -0.932,  -0.760,  -0.488
 -0.563,  +1.638,  -0.483
 -0.746,  -1.017,  -0.039
 -0.259,  +1.046,  -1.627
 -0.096,  -0.255,  -1.535
 -1.602,  +0.102,  +0.498
 +0.080,  +2.292,  +0.824
 +0.491,  -0.147,  -1.001
 +1.189,  -1.153,  +0.022
 -0.289,  +2.049,  +0.136
 -0.550,  +0.301,  +0.138
 -0.411,  +0.234,  -0.547
 -0.803,  -0.778,  +1.156
 +0.063,  -2.387,  -0.250
 -0.331,  -2.626,  +0.027
 +0.430,  -1.062,  -0.291
 -0.441,  -0.618,  +1.355
 -0.752,  +0.224,  +0.683
 +0.389,  -0.396,  -0.692
 +1.701,  +0.730,  -1.917
 +1.833,  -0.709,  -0.304
 +1.432,  -1.424,  +1.020
 -1.296,  +0.303,  -0.442
 -0.447,  -0.121,  -1.699
 +0.973,  -1.926,  +1.561
 -0.788,  +0.293,  +0.679
 -0.742,  -0.538,  +0.535
 +1.379,  +1.016,  -0.024
 -0.287,  -0.284,  +0.032
 +0.736,  -1.050,  -1.199
 -0.124,  -0.362,  +0.198
 +0.383,  +0.051,  +0.148
 -0.180,  -2.155,  -0.901
 +1.484,  +0.102,  -1.476
 +1.317,  +1.181,  +1.145
 +0.269,  +0.400,  +1.871
 +0.785,  -0.784,  -0.296
 -0.142,  +0.456,  -0.616
 +0.758,  -0.102,  +2.078
 -0.308,  +0.643,  -0.050
 +0.392,  +0.241,  +0.151
 -0.345,  +0.641,  -0.110
 -0.392,  +0.380,  -0.454
 +1.041,  -1.068,  -0.215
 +0.954,  -0.278,  -0.886
 -0.021,  +0.186,  +0.739
 +2.435,  +0.248,  +0.790
 -1.757,  -0.243,  -0.822
 -1.460,  -1.400,  +0.549
 +0.309,  -2.136,  +0.273
 +0.374,  -0.165,  -0.739
 -0.098,  -0.554,  +0.846
 +0.770,  +0.023,  +0.137
 +0.670,  -1.882,  -0.234
 +0.895,  -0.498,  -1.172
 +0.095,  -0.423,  +1.661
 -1.555,  +0.475,  -0.594
 -0.687,  -1.190,  -0.555
 -0.736,  +1.376,  -0.201
 -0.346,  -1.217,  +0.463
 -0.362,  +0.554,  -0.304
 +0.203,  +0.670,  +0.244
 -1.714,  +0.447,  +0.159
 +0.755,  +1.111,  -0.935
 -0.433,  -1.523,  +0.457
 +0.462,  +0.025,  -0.743
 -0.189,  +0.922,  -0.593
 -0.667,  +1.404,  +0.122
 -0.980,  +1.306,  +1.486
 +1.710,  +3.312,  +1.040
 +1.059,  -0.724,  -0.198
 +0.038,  +0.132,  +0.502
 +0.209,  +0.315,  +1.229
 -0.485,  -2.030,  +0.430
 -0.977,  -1.390,  +0.391
 -0.328,  -1.707,  -0.722
 -1.239,  -0.539,  -1.123
 -1.434,  -0.507,  +0.775
 +0.179,  +0.611,  +0.828
 -0.191,  -0.138,  -0.279
 -1.419,  -1.393,  -0.674
 +0.670,  +1.911,  -1.024
 -0.372,  +0.463,  -0.408
 -0.508,  -0.106,  -0.495
 -0.092,  -1.038,  -0.174
 +0.071,  -1.017,  +0.830
 -0.184,  +1.020,  +1.148
 +1.162,  +0.599,  +0.792
 -0.837,  -0.063,  -1.169
 +0.883,  +0.066,  -0.390
 -0.168,  +0.152,  -1.047
 -0.530,  -1.353,  -0.869
 +0.239,  +1.224,  +0.283
 -0.457,  -0.754,  +0.046
 -0.320,  +0.059,  +0.796
 -1.025,  +0.783,  -2.014
 -0.218,  -1.464,  -0.457
 +1.188,  +1.425,  -1.589
 -1.265,  +1.318,  -0.490
 -1.847,  +0.357,  -1.062
 +1.498,  +0.370,  -0.199
 -0.115,  -0.157,  -0.166
 -1.431,  -0.351,  +0.251
 +0.149,  +1.149,  +0.013
 +0.301,  +1.200,  -0.691
 +0.825,  +0.449,  +1.537
 -0.506,  +0.260,  +0.315
 -0.061,  -1.692,  -1.611
 +1.475,  +0.112,  -0.151
 +0.243,  -0.812,  +0.033
 -2.134,  -0.360,  -1.170
 -0.894,  +1.497,  +0.513
 +1.935,  -0.681,  -0.435
 -0.846,  +0.265,  -1.013
 +0.862,  +0.845,  -0.373
 +0.175,  +0.222,  -1.939
 -0.249,  +0.257,  -1.425
 -2.153,  -0.529,  -0.846
 +1.827,  +0.485,  +0.967
 +0.060,  -1.033,  -0.349
 +0.840,  +1.189,  -0.816
 +1.047,  +0.011,  +0.209
 -0.469,  -0.040,  +2.836
 +0.066,  -1.781,  -0.669
 -0.998,  +1.263,  -1.409
 -0.337,  +0.343,  +0.828
 +1.601,  +0.268,  +1.343
 +0.024,  -1.716,  -0.664
 +0.342,  +1.247,  -0.341
 -2.086,  -1.023,  -0.637
 +3.146,  +0.134,  -0.452
 -0.641,  +0.003,  -0.962
 +1.694,  +2.109,  +0.112
 -0.320,  -1.742,  +0.116
 +1.196,  +1.563,  +2.002
